2018-01-09T16:14:14.427+0100 I CONTROL  [main] Trying to start Windows service 'MongoDB'
2018-01-09T17:00:02.729+0100 I COMMAND  [conn30] command medical_reports.doctors command: listIndexes { listIndexes: "doctors", cursor: {}, $db: "medical_reports" } numYields:0 reslen:317 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 114459 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_query 114ms
2018-01-09T17:00:02.760+0100 I COMMAND  [conn29] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 145ms
2018-01-09T17:00:21.378+0100 I NETWORK  [conn29] end connection 127.0.0.1:54346 (1 connection now open)
2018-01-09T17:00:21.378+0100 I NETWORK  [conn30] end connection 127.0.0.1:54347 (0 connections now open)
2018-01-09T17:01:31.595+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54348 #31 (1 connection now open)
2018-01-09T17:01:31.603+0100 I NETWORK  [conn31] received client metadata from 127.0.0.1:54348 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:01:31.623+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54349 #32 (2 connections now open)
2018-01-09T17:01:31.781+0100 I INDEX    [conn31] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:01:31.813+0100 I COMMAND  [conn31] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 88 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 189ms
2018-01-09T17:02:12.774+0100 I NETWORK  [conn32] end connection 127.0.0.1:54349 (1 connection now open)
2018-01-09T17:02:12.774+0100 I NETWORK  [conn31] end connection 127.0.0.1:54348 (0 connections now open)
2018-01-09T17:05:51.853+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54360 #33 (1 connection now open)
2018-01-09T17:05:51.861+0100 I NETWORK  [conn33] received client metadata from 127.0.0.1:54360 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:05:51.886+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54361 #34 (2 connections now open)
2018-01-09T17:05:51.973+0100 I INDEX    [conn33] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:05:52.010+0100 I COMMAND  [conn33] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 33 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 123ms
2018-01-09T17:06:03.697+0100 I NETWORK  [conn34] end connection 127.0.0.1:54361 (1 connection now open)
2018-01-09T17:06:03.697+0100 I NETWORK  [conn33] end connection 127.0.0.1:54360 (0 connections now open)
2018-01-09T17:10:44.392+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54392 #35 (1 connection now open)
2018-01-09T17:10:44.402+0100 I NETWORK  [conn35] received client metadata from 127.0.0.1:54392 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:10:44.423+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54393 #36 (2 connections now open)
2018-01-09T17:10:44.529+0100 I INDEX    [conn35] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:10:44.529+0100 I COMMAND  [conn36] command medical_reports.doctors command: listIndexes { listIndexes: "doctors", cursor: {}, $db: "medical_reports" } numYields:0 reslen:317 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 105287 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_query 105ms
2018-01-09T17:10:44.566+0100 I COMMAND  [conn35] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 141ms
2018-01-09T17:15:30.127+0100 I NETWORK  [conn36] end connection 127.0.0.1:54393 (1 connection now open)
2018-01-09T17:15:30.127+0100 I NETWORK  [conn35] end connection 127.0.0.1:54392 (0 connections now open)
2018-01-09T17:15:31.179+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54403 #37 (1 connection now open)
2018-01-09T17:15:31.187+0100 I NETWORK  [conn37] received client metadata from 127.0.0.1:54403 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:15:31.208+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54404 #38 (2 connections now open)
2018-01-09T17:15:31.283+0100 I INDEX    [conn37] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:15:31.321+0100 I COMMAND  [conn37] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 112ms
2018-01-09T17:15:42.376+0100 I NETWORK  [conn38] end connection 127.0.0.1:54404 (1 connection now open)
2018-01-09T17:15:42.376+0100 I NETWORK  [conn37] end connection 127.0.0.1:54403 (0 connections now open)
2018-01-09T17:15:43.388+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54405 #39 (1 connection now open)
2018-01-09T17:15:43.396+0100 I NETWORK  [conn39] received client metadata from 127.0.0.1:54405 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:15:43.419+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54406 #40 (2 connections now open)
2018-01-09T17:15:43.497+0100 I INDEX    [conn39] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:15:43.533+0100 I COMMAND  [conn39] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 113ms
2018-01-09T17:15:46.018+0100 I COMMAND  [conn40] command medical_reports.$cmd command: update { update: "patients", ordered: true, $db: "medical_reports" } numYields:0 reslen:59 locks:{ Global: { acquireCount: { r: 2, w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_query 151ms
2018-01-09T17:17:10.583+0100 I NETWORK  [conn40] end connection 127.0.0.1:54406 (1 connection now open)
2018-01-09T17:17:10.583+0100 I NETWORK  [conn39] end connection 127.0.0.1:54405 (0 connections now open)
2018-01-09T17:17:11.674+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54410 #41 (1 connection now open)
2018-01-09T17:17:11.681+0100 I NETWORK  [conn41] received client metadata from 127.0.0.1:54410 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:17:11.703+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54411 #42 (2 connections now open)
2018-01-09T17:17:11.774+0100 I INDEX    [conn41] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:17:11.811+0100 I COMMAND  [conn41] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 107ms
2018-01-09T17:18:48.692+0100 I NETWORK  [conn41] end connection 127.0.0.1:54410 (1 connection now open)
2018-01-09T17:18:48.693+0100 I NETWORK  [conn42] end connection 127.0.0.1:54411 (0 connections now open)
2018-01-09T17:19:00.006+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54414 #43 (1 connection now open)
2018-01-09T17:19:00.025+0100 I NETWORK  [conn43] received client metadata from 127.0.0.1:54414 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:19:00.046+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54415 #44 (2 connections now open)
2018-01-09T17:19:00.148+0100 I INDEX    [conn43] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:19:00.219+0100 I COMMAND  [conn43] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 171ms
2018-01-09T17:20:11.251+0100 I NETWORK  [conn44] end connection 127.0.0.1:54415 (1 connection now open)
2018-01-09T17:20:11.251+0100 I NETWORK  [conn43] end connection 127.0.0.1:54414 (0 connections now open)
2018-01-09T17:20:12.376+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54416 #45 (1 connection now open)
2018-01-09T17:20:12.383+0100 I NETWORK  [conn45] received client metadata from 127.0.0.1:54416 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:20:12.404+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54417 #46 (2 connections now open)
2018-01-09T17:20:12.511+0100 I INDEX    [conn45] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:20:12.511+0100 I COMMAND  [conn46] command medical_reports.doctors command: listIndexes { listIndexes: "doctors", cursor: {}, $db: "medical_reports" } numYields:0 reslen:317 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 104019 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_query 104ms
2018-01-09T17:20:12.548+0100 I COMMAND  [conn45] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 142ms
2018-01-09T17:20:45.049+0100 I NETWORK  [conn45] end connection 127.0.0.1:54416 (1 connection now open)
2018-01-09T17:20:45.050+0100 I NETWORK  [conn46] end connection 127.0.0.1:54417 (0 connections now open)
2018-01-09T17:20:46.147+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54421 #47 (1 connection now open)
2018-01-09T17:20:46.154+0100 I NETWORK  [conn47] received client metadata from 127.0.0.1:54421 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:20:46.175+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54422 #48 (2 connections now open)
2018-01-09T17:20:46.293+0100 I INDEX    [conn47] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:20:46.294+0100 I COMMAND  [conn48] command medical_reports.doctors command: listIndexes { listIndexes: "doctors", cursor: {}, $db: "medical_reports" } numYields:0 reslen:317 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 116210 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_query 116ms
2018-01-09T17:20:46.332+0100 I COMMAND  [conn47] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 155ms
2018-01-09T17:24:49.447+0100 I NETWORK  [conn47] end connection 127.0.0.1:54421 (1 connection now open)
2018-01-09T17:24:49.447+0100 I NETWORK  [conn48] end connection 127.0.0.1:54422 (0 connections now open)
2018-01-09T17:24:50.522+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54436 #49 (1 connection now open)
2018-01-09T17:24:50.530+0100 I NETWORK  [conn49] received client metadata from 127.0.0.1:54436 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:24:50.551+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54437 #50 (2 connections now open)
2018-01-09T17:24:50.656+0100 I INDEX    [conn49] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:24:50.691+0100 I COMMAND  [conn49] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 139ms
2018-01-09T17:26:04.566+0100 I NETWORK  [conn49] end connection 127.0.0.1:54436 (1 connection now open)
2018-01-09T17:26:04.566+0100 I NETWORK  [conn50] end connection 127.0.0.1:54437 (0 connections now open)
2018-01-09T17:26:05.643+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54443 #51 (1 connection now open)
2018-01-09T17:26:05.650+0100 I NETWORK  [conn51] received client metadata from 127.0.0.1:54443 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:26:05.668+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54444 #52 (2 connections now open)
2018-01-09T17:26:05.797+0100 I INDEX    [conn51] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T17:26:05.833+0100 I COMMAND  [conn51] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 164ms
2018-01-09T17:28:20.065+0100 I NETWORK  [conn51] end connection 127.0.0.1:54443 (1 connection now open)
2018-01-09T17:28:20.065+0100 I NETWORK  [conn52] end connection 127.0.0.1:54444 (0 connections now open)
2018-01-09T17:28:28.600+0100 I CONTROL  [serviceShutdown] got SERVICE_CONTROL_STOP request from Windows Service Control Manager, will terminate after current cmd ends
2018-01-09T17:28:28.600+0100 I NETWORK  [serviceShutdown] shutdown: going to close listening sockets...
2018-01-09T17:28:28.601+0100 F CONTROL  [thread53] Encountered an error in PeriodicRunnerASIO: La operación de E/S se anuló por una salida de subproceso o por una solicitud de aplicación.
2018-01-09T17:28:28.601+0100 F CONTROL  [thread53] Encountered an error in PeriodicRunnerASIO: La operación de E/S se anuló por una salida de subproceso o por una solicitud de aplicación.
2018-01-09T17:28:28.601+0100 I FTDC     [serviceShutdown] Shutting down full-time diagnostic data capture
2018-01-09T17:28:28.662+0100 I STORAGE  [serviceShutdown] WiredTigerKVEngine shutting down
2018-01-09T17:28:29.174+0100 I STORAGE  [serviceShutdown] shutdown: removing fs lock...
2018-01-09T17:28:29.176+0100 I CONTROL  [serviceShutdown] now exiting
